ID,SOURCE_ID (Owner ou Business Process),TARGET_ID (Owner),TYPE (= “DPND”)
1,DIRECTION GENERALE GROUPE,DIRECTION GENERALE GROUPE,
2,SECRETARIAT GENERAL,DIRECTION GENERALE GROUPE,
3,DIRECTION RESSOURCES HUMAINES,DIRECTION GENERALE GROUPE,
4,DIRECTION EXECUTIVE FINANCE,DIRECTION GENERALE GROUPE,
5,DIRECTION EXECUTIVE France,DIRECTION GENERALE GROUPE,
6,DIRECTION EXECUTIVE E-COMMERCE & SUPPLY E-COMMERCE FRANCE,DIRECTION GENERALE GROUPE,
7,DIRECTION EXECUTIVE MARKETING ET CLIENTS,DIRECTION GENERALE GROUPE,
8,MARCHANDISES GROUPE,DIRECTION GENERALE GROUPE,
9,DIRECTION COMMUNICATION GROUPE,DIRECTION GENERALE GROUPE,
10,DIRECTION DE L'ENGAGEMENT,DIRECTION GENERALE GROUPE,
11,DIRECTION DE LA STRATEGIE ET DE LA TRANSFORMATION,DIRECTION GENERALE GROUPE,
12,DIRECTION STRATEGIE ET RELATIONS TERRITORIALES,SECRETARIAT GENERAL,
13,DIRECTION AFFAIRES PUBLIQUES,SECRETARIAT GENERAL,
14,DIRECTION MARCHE BIO,SECRETARIAT GENERAL,
15,DIRECTION JURIDIQUE GROUPE,SECRETARIAT GENERAL,
16,DIRECTION AUDIT,SECRETARIAT GENERAL,
17,CYBER SECURITE,SECRETARIAT GENERAL,
18,DIRECTION SECURITE GROUPE,SECRETARIAT GENERAL,
19,DIRECTION DEVELOPPEMENT DES VENTES,SECRETARIAT GENERAL,
20,DIRECTION QUALITE,SECRETARIAT GENERAL,
21,DIRECTION FINANCE GESTION ET ADMINISTRATION DES VENTES,SECRETARIAT GENERAL,
22,DIRECTION COMMERCIALE,SECRETARIAT GENERAL,
23,COORDINATION LOGISTIQUE,DIRECTION DEVELOPPEMENT DES VENTES,
24,POLE ALIMENTAIRE,DIRECTION DEVELOPPEMENT DES VENTES,
25,DIRECTION DEVELOPPEMENT DES VENTES NON-ALIMENTAIRE,DIRECTION DEVELOPPEMENT DES VENTES,
26,DIRECTION SUPPLY CHAIN EXPORT ET OS,DIRECTION DEVELOPPEMENT DES VENTES,
27,APPROVISIONNEMENT ALIMENTAIRE,POLE ALIMENTAIRE,
28,POLE NON ALIMENTAIRE,DIRECTION DEVELOPPEMENT DES VENTES NON-ALIMENTAIRE,
29,GESTIONNAIRE DE COMPTES,DIRECTION DEVELOPPEMENT DES VENTES NON-ALIMENTAIRE,
30,SERVICE ADMINISTRATIVE EXPORT,GESTIONNAIRE DE COMPTES,
31,DOCUMENTATION TECHNIQUE,DIRECTION QUALITE,
32,CONTROLE DE GESTION EXPORT,Manager n+1: Ingrid SIRET,
33,CONTROLE DE GESTION INTERNATIONAL,Manager n+1: Ingrid SIRET,
34,"DIRECTION COMMERCIALE, OPERATIONS & DIGITAL",DIRECTION MARCHE BIO,
35,DIRECTION PROXIMITE,DIRECTION MARCHE BIO,
36,DIRECTION REGIONALE SUD OUEST,DIRECTION MARCHE BIO,
37,DIRECTION REGIONALE OUEST,DIRECTION MARCHE BIO,
38,DIRECTION REGIONALE EST,DIRECTION MARCHE BIO,
39,DIRECTION REGIONALE PARIS CENTRE,DIRECTION MARCHE BIO,
40,DIRECTION REGIONALE NORD,DIRECTION MARCHE BIO,
41,DIRECTION REGIONALE SUD EST,DIRECTION MARCHE BIO,
42,DIRECTION EXCELLENCE OPERATIONNELLE,"DIRECTION COMMERCIALE, OPERATIONS & DIGITAL",
43,DIRECTION CONCEPTS ET PARTENARIATS,"DIRECTION COMMERCIALE, OPERATIONS & DIGITAL",
44,SERVICE TRANSFORMATION,DIRECTION PROXIMITE,
45,SERVICE E COMMERCE,DIRECTION PROXIMITE,
46,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL SUD OUEST,DIRECTION REGIONALE SUD OUEST,
47,SERVICE DEVELOPPEMENT REGIONALE SUD OUEST,DIRECTION REGIONALE SUD OUEST,
48,SERVICE MULTI ENSEIGNE REGIONALE SUD OUEST 5,DIRECTION REGIONALE SUD OUEST,
49,SERVICE MULTI ENSEIGNE REGIONALE SUD OUEST 4,DIRECTION REGIONALE SUD OUEST,
50,SERVICE MULTI ENSEIGNE REGIONALE SUD OUEST 1,DIRECTION REGIONALE SUD OUEST,
51,SERVICE MULTI ENSEIGNE REGIONALE SUD OUEST 2,DIRECTION REGIONALE SUD OUEST,
52,SERVICE MULTI ENSEIGNE REGIONALE SUD OUEST 3,DIRECTION REGIONALE SUD OUEST,
53,DIRECTION TECHNIQUE,DIRECTION REGIONALE SUD OUEST,
54,SERVICE MULTI ENSEIGNE REGIONALE OUEST 4,DIRECTION REGIONALE OUEST,
55,SERVICE MULTI ENSEIGNE REGIONALE OUEST 3,DIRECTION REGIONALE OUEST,
56,SERVICE DEVELOPPEMENT REGIONALE OUEST,DIRECTION REGIONALE OUEST,
